Name,Total invested,Current valuation,Net profit,Absolute profit,Total installments,Internal rate of return,SIP start date,SIP end date
Axis Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Growth,"₹ 240,000.00","₹ 276,013.20","₹ 36,013.20",15.01%,48,7.01%,02-02-2013,25-07-2018
Axis Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend,"₹ 240,000.00","₹ 245,963.18","₹ 5,963.18",2.48%,48,1.22%,02-02-2013,25-07-2018
Axis Dynamic Equity Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 60,000.00","₹ 64,318.51","₹ 4,318.51",7.20%,12,14.26%,02-02-2013,25-07-2018
Axis Dynamic Equity Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 60,000.00","₹ 64,313.47","₹ 4,313.47",7.19%,12,14.24%,02-02-2013,25-07-2018
AXIS Equity Saver Fund - Direct Plan - Hybrid - Equity Oriented : Dividend-Quarterly,"₹ 180,000.00","₹ 195,893.89","₹ 15,893.89",8.83%,36,5.66%,02-02-2013,25-07-2018
AXIS Equity Saver Fund - Direct Plan - Hybrid - Equity Oriented : Dividend-Monthly,"₹ 180,000.00","₹ 196,092.12","₹ 16,092.12",8.94%,36,5.73%,02-02-2013,25-07-2018
AXIS Equity Saver Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 180,000.00","₹ 214,015.81","₹ 34,015.81",18.90%,36,11.75%,02-02-2013,25-07-2018
Axis Regular Saver Fund - Direct Plan - Hybrid - Debt-oriented Aggressive : Dividend-Annual,"₹ 280,000.00","₹ 290,201.88","₹ 10,201.88",3.64%,56,1.51%,02-02-2013,25-07-2018
Axis Regular Saver Fund - Direct Plan - Hybrid - Debt-oriented Aggressive : Dividend-Half Yearly,"₹ 305,000.00","₹ 316,189.68","₹ 11,189.68",3.67%,61,1.41%,02-02-2013,25-07-2018
Axis Regular Saver Fund - Direct Plan - Hybrid - Debt-oriented Aggressive : Growth,"₹ 330,000.00","₹ 437,284.14","₹ 107,284.14",32.51%,66,10.22%,02-02-2013,25-07-2018
Axis Regular Saver Fund - Direct Plan - Hybrid - Debt-oriented Aggressive : Dividend-Quarterly,"₹ 330,000.00","₹ 369,315.10","₹ 39,315.10",11.91%,66,4.07%,02-02-2013,25-07-2018
Axis Triple Advantage Fund - Direct Plan - Hybrid - Others : Growth,"₹ 330,000.00","₹ 438,982.24","₹ 108,982.24",33.02%,66,10.37%,02-02-2013,25-07-2018
Axis Triple Advantage Fund - Direct Plan - Hybrid - Others : Dividend,"₹ 330,000.00","₹ 438,869.64","₹ 108,869.64",32.99%,66,10.36%,02-02-2013,25-07-2018
Axis Banking & PSU Debt Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Weekly,"₹ 305,000.00","₹ 305,651.91",₹ 651.91,0.21%,61,0.08%,02-02-2013,25-07-2018
Axis Banking & PSU Debt Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 410,634.75","₹ 80,634.75",24.43%,66,7.93%,02-02-2013,25-07-2018
Axis Banking & PSU Debt Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 330,259.59",₹ 259.59,0.08%,66,0.03%,02-02-2013,25-07-2018
Axis Corporate Debt Fund - Direct Plan - Debt - Credit Opportunities : Growth,"₹ 65,000.00","₹ 67,784.52","₹ 2,784.52",4.28%,13,7.79%,02-02-2013,25-07-2018
Axis Corporate Debt Fund - Direct Plan - Debt - Credit Opportunities : Dividend,"₹ 65,000.00","₹ 67,776.83","₹ 2,776.83",4.27%,13,7.77%,02-02-2013,25-07-2018
Axis Corporate Debt Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Monthly,"₹ 65,000.00","₹ 64,906.58",₹ -93.42,-0.14%,13,-0.26%,02-02-2013,25-07-2018
Axis Corporate Debt Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Weekly,"₹ 65,000.00","₹ 65,027.36",₹ 27.36,0.04%,13,0.08%,02-02-2013,25-07-2018
Axis Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Monthly,"₹ 245,000.00","₹ 243,776.47","₹ -1,223.53",-0.50%,49,-0.24%,02-02-2013,25-07-2018
Axis Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Weekly,"₹ 245,000.00","₹ 246,555.31","₹ 1,555.31",0.63%,49,0.31%,02-02-2013,25-07-2018
Axis Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Growth,"₹ 245,000.00","₹ 291,609.16","₹ 46,609.16",19.02%,49,8.58%,02-02-2013,25-07-2018
Axis Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Quarterly,"₹ 330,000.00","₹ 321,510.28","₹ -8,489.72",-2.57%,66,-0.94%,02-02-2013,25-07-2018
Axis Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Growth,"₹ 330,000.00","₹ 415,254.83","₹ 85,254.83",25.83%,66,8.34%,02-02-2013,25-07-2018
Axis Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Half Yearly,"₹ 300,000.00","₹ 304,116.31","₹ 4,116.31",1.37%,60,0.54%,02-02-2013,25-07-2018
Axis Gilt Fund - Direct Plan - Debt - Gilt Medium & Long Term : Dividend,"₹ 330,000.00","₹ 324,618.03","₹ -5,381.97",-1.63%,66,-0.59%,02-02-2013,25-07-2018
Axis Gilt Fund - Direct Plan - Debt - Gilt Medium & Long Term : Growth,"₹ 330,000.00","₹ 394,789.03","₹ 64,789.03",19.63%,66,6.50%,02-02-2013,25-07-2018
Axis Liquid Fund - Direct Plan - Debt - Liquid : Dividend-Weekly,"₹ 330,000.00","₹ 329,887.89",₹ -112.11,-0.03%,66,-0.01%,02-02-2013,25-07-2018
Axis Liquid Fund - Direct Plan - Debt - Liquid : Growth,"₹ 330,000.00","₹ 408,083.52","₹ 78,083.52",23.66%,66,7.70%,02-02-2013,25-07-2018
Axis Liquid Fund - Direct Plan - Debt - Liquid : Dividend-Monthly,"₹ 330,000.00","₹ 329,530.29",₹ -469.71,-0.14%,66,-0.05%,02-02-2013,25-07-2018
Axis Short Term Fund - Direct Plan - Debt - Short Term : Dividend-Weekly,"₹ 330,000.00","₹ 330,359.61",₹ 359.61,0.11%,66,0.04%,02-02-2013,25-07-2018
Axis Short Term Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 326,139.57","₹ -3,860.43",-1.17%,66,-0.42%,02-02-2013,25-07-2018
Axis Short Term Fund - Direct Plan - Debt - Short Term : Dividend,"₹ 160,000.00","₹ 175,374.85","₹ 15,374.85",9.61%,32,6.79%,02-02-2013,25-07-2018
